,Product_name,Product_id,Product_Category,price,Professional_Publication,Region_address,Local_address
48,Hp i5 portable,40008780,Ordinateurs portables,2000.0,private,Marrakech-Tensift-Al Haouz,Marrakech
50,PlayStation 3,40008778,Jeux vidéo et consoles,1100.0,private,DoukkalaAbda,Safi
51,Lumix fz300 4k wifi,40003196,Appareils photo et caméras,3000.0,pro,Grand Casablanca,Casablanca
52,Dacia Logan,40008777,Voitures,88000.0,private,DoukkalaAbda,El Jadida
53,PC Gamer i5 9400/ 16GO RAM/ RX580 8GO,38938151,Ordinateurs de bureau,8500.0,pro,Grand Casablanca,Casablanca
54,iphone 7,40008776,Téléphones,2700.0,private,DoukkalaAbda,Youssoufia
55,triporteur n9i,40008775,Motos,11000.0,private,Grand Casablanca,Casablanca
56,Cuadro,40008774,Meubles et décoration,150.0,private,Tanger-Tétouan,Tanger
57,xbox 360 2 manettes,40008773,Jeux vidéo et consoles,700.0,private,Grand Casablanca,Casablanca
58,Rolex automatique,40008772,Montres et bijoux,850.0,private,Meknès-Tafilalet,Meknès
59,Macbook air retina fin2018,40003182,Ordinateurs portables,8000.0,pro,Grand Casablanca,Casablanca
60,a20s neuf  noir,40008770,Téléphones,1750.0,private,Grand Casablanca,Casablanca
61,Tele huawei y9 prim mazal kartona,40008769,Téléphones,2200.0,private,Gharb-Chrarda-Beni Hssen,Sidi Slimane
62,Vélo,40008768,Vélos,500.0,private,Tanger-Tétouan,Tanger
63,portable nokia,40008767,Téléphones,200.0,private,Oriental,Oujda
64,Velo btwin,40008766,Vélos,1900.0,private,Rabat-Salé-Zemmour-Zaër,Salé
65,camera canon,40008765,Appareils photo et caméras,250.0,private,Oriental,Oujda
66,MacBook Air 2015,40008764,Ordinateurs portables,4700.0,private,Meknès-Tafilalet,Meknès
67,Audi A3 finition S-line,39481393,Voitures,330000.0,private,Marrakech-Tensift-Al Haouz,Marrakech
68,Telephone,40008763,Téléphones,2200.0,private,Gharb-Chrarda-Beni Hssen,Sidi Slimane
70,Piece pc gamer,40008761,Accessoires informatique et gadgets,2000.0,private,Souss-Massa-Drâa,Ouarzazate
71,Ipad 10.2 7eme gen 32go wifi et cellulaire,40003176,Tablettes,3000.0,pro,Grand Casablanca,Casablanca
72,kia picanto,40008760,Voitures,56000.0,private,Grand Casablanca,Casablanca
73,fiat 500 automatique,40008759,Voitures,82500.0,private,Grand Casablanca,Casablanca
74,SONY XPERIA XZs l 4G l 32GB ROM l 4GB RAM,40008758,Téléphones,1000.0,private,Grand Casablanca,Casablanca
76,CONTINENTAL PNEUS 18,40008756,Pièces et accessoires pour véhicules,2800.0,private,Oriental,Oujda
77,iphone x  affisheur,40008755,Accessoires informatique et gadgets,1000.0,private,Marrakech-Tensift-Al Haouz,Marrakech
78,tabllet accent,40008754,Tablettes,600.0,private,Gharb-Chrarda-Beni Hssen,Kénitra
80,Suzuki Célerio,40008752,Voitures,53000.0,private,Tanger-Tétouan,Tanger
81,iphone 5 5s,40008751,Téléphones,700.0,private,Oriental,Nador
82,Appartement,37699161,Appartements,2300.0,private,Souss-Massa-Drâa,Agadir
83,Microsoft surface pro 6 core i5 8eme,40003164,Tablettes,6800.0,pro,Grand Casablanca,Casablanca
84,a10s neuf noir,40008750,Téléphones,1420.0,private,Grand Casablanca,Casablanca
85,Souris Gamer,33454757,Accessoires informatique et gadgets,900.0,pro,Grand Casablanca,Casablanca
86,Kangoo d65,40008749,Voitures,53000.0,private,Grand Casablanca,Casablanca
87,RENAULT DACIA 15 POUSSES,40008748,Pièces et accessoires pour véhicules,2200.0,private,Oriental,Oujda
88,samsung s8,40008747,Téléphones,1700.0,private,Souss-Massa-Drâa,Agadir
89,Dell xps13 core i5 6th,40003154,Ordinateurs portables,3800.0,pro,Grand Casablanca,Casablanca
90,Boit d'alimentation 750 watts,40008745,Accessoires informatique et gadgets,400.0,private,Souss-Massa-Drâa,Ouarzazate
91,Google Play 50 USD,39991626,Jeux vidéo et consoles,450.0,private,Grand Casablanca,Mohammedia
92,InFocus Vzh T1 l 4G l 16GB ROM I 2GB RAM,40008744,Téléphones,500.0,private,Grand Casablanca,Casablanca
93,Appartement meublé 1 er etage,37933144,Locations de vacances,175.0,pro,Souss-Massa-Drâa,Agadir
95,Appartement bien meublé HAY SALAM AGADIR,36007940,Locations de vacances,200.0,pro,Souss-Massa-Drâa,Agadir
96,IPad Pro 10.5 512go wifi,40003142,Tablettes,3800.0,pro,Grand Casablanca,Casablanca
97,Appartement de 73 m2 Hay Salam,36078965,Locations de vacances,250.0,pro,Souss-Massa-Drâa,Agadir
98,Appartement,40008741,Appartements,1800.0,private,Marrakech-Tensift-Al Haouz,Marrakech
99,Appartement bien meublé HAY SALAM AGADIR,38898517,Locations de vacances,200.0,pro,Souss-Massa-Drâa,Agadir
100,Femelle Berger Allemand pédigrée,40008740,Animaux,6300.0,private,Grand Casablanca,Casablanca
103,Op-1,40008733,Instruments de musique,6500.0,private,Souss-Massa-Drâa,Agadir
105,RAM DDR3 10 Gb,40008731,Accessoires informatique et gadgets,500.0,private,Souss-Massa-Drâa,Ouarzazate
106,Hyundai i30,40008730,Voitures,123000.0,private,Grand Casablanca,Casablanca
107,Games Play 4,40008729,Jeux vidéo et consoles,250.0,private,Souss-Massa-Drâa,Agadir
108,Processor i5 2400,40008727,Accessoires informatique et gadgets,400.0,private,Souss-Massa-Drâa,Ouarzazate
111,Disque dur 500GB,40008724,Accessoires informatique et gadgets,300.0,private,Souss-Massa-Drâa,Ouarzazate
113,iPhone xr,40008722,Téléphones,4000.0,private,Oriental,Oujda
115,Snap-on diagnostique,40008720,Pièces et accessoires pour véhicules,16000.0,pro,Tanger-Tétouan,Tanger
116,abonnement 12Mois FHD 4K,39445202,Image & son,400.0,private,Rabat-Salé-Zemmour-Zaër,Rabat
118,Boss 1513275 noir,40008718,Montres et bijoux,1300.0,private,Rabat-Salé-Zemmour-Zaër,Rabat
120,Cart graphic GTX 750 2GB,40008716,Accessoires informatique et gadgets,500.0,private,Souss-Massa-Drâa,Ouarzazate
121,Samsung Note 8,40008715,Téléphones,1700.0,pro,Tanger-Tétouan,Tanger
123,Sony Xperia Z5,40008713,Téléphones,1300.0,private,Tanger-Tétouan,Tanger
124,Montre Femme Guess W0638L4,40008712,Montres et bijoux,1300.0,private,Rabat-Salé-Zemmour-Zaër,Rabat
125,MUSCULATION,40008711,Sports et loisirs,700.0,private,Grand Casablanca,Casablanca
127,PLASTIFIEUSE LAMIRAL,40008708,Matériels professionnels,600.0,private,Chaouia-Ouardigha,Berrechid
130,Samsung Galaxy S8,40008705,Téléphones,1900.0,pro,Tanger-Tétouan,Tanger
131,Hp Spectre x360 Convertible,40008704,Ordinateurs portables,5800.0,private,Rabat-Salé-Zemmour-Zaër,Rabat
132,pack bodyboard,40008703,Sports et loisirs,3500.0,private,Souss-Massa-Drâa,Agadir
133,Apple MacBook Pro 2019 i9 Neuf,40008702,Ordinateurs portables,27000.0,pro,Tanger-Tétouan,Tanger
134,Apple MacBook Pro 2019 i9 Neuf,40008702,Ordinateurs portables,27000.0,pro,Tanger-Tétouan,Tanger
137,Macbook Pro 2015 15 i7,40008700,Ordinateurs portables,8400.0,pro,Tanger-Tétouan,Tanger
138,Surface Pro 6 2019,40008699,Ordinateurs portables,8000.0,pro,Tanger-Tétouan,Tanger
140,Guess w0801g1 argente homme,40008698,Montres et bijoux,1400.0,private,Rabat-Salé-Zemmour-Zaër,Rabat
141,Iphone xs 512gb,40008697,Téléphones,7500.0,private,Grand Casablanca,Casablanca
142,Dell Latitude 5480,40008696,Ordinateurs portables,3600.0,pro,Tanger-Tétouan,Tanger
143,meuble complet,40008695,Meubles et décoration,2000.0,private,Gharb-Chrarda-Beni Hssen,Kénitra
147,Surface book,40008691,Ordinateurs portables,6800.0,pro,Tanger-Tétouan,Tanger
150,HP Spectre X360 i7 7Th,40008689,Ordinateurs portables,6400.0,pro,Tanger-Tétouan,Tanger
151,Caméra de surveillance,40008688,Appareils photo et caméras,145.0,private,Souss-Massa-Drâa,Agadir
152,XBOX 360 2 MANEET 5 JEU,40008687,Jeux vidéo et consoles,800.0,private,Grand Casablanca,Casablanca
153,des entique,40008685,Art et collections,15000.0,private,Rabat-Salé-Zemmour-Zaër,Rabat
154,Bose SoundSport Free Wireless Headphones,40008684,Image & son,1400.0,pro,Tanger-Tétouan,Tanger
155,Michael Kors Gage MK8535,40008683,Montres et bijoux,1400.0,private,Rabat-Salé-Zemmour-Zaër,Rabat
157,HP Spectre 2018 x360,40008680,Ordinateurs portables,9600.0,pro,Tanger-Tétouan,Tanger
159,xbox360 slem,40008677,Jeux vidéo et consoles,1200.0,private,Rabat-Salé-Zemmour-Zaër,Rabat
161,Asus F756U Gamer GTX,40008675,Ordinateurs portables,5800.0,pro,Tanger-Tétouan,Tanger
162,Mercedes classe B,40008674,Voitures,85000.0,private,Grand Casablanca,Casablanca
163,compte free fire,40008673,Jeux vidéo et consoles,150.0,private,Tadla-Azilal,Béni Mellal
164,Machines café Dolce Gusto Circolo l'import d europ,38660161,Electroménager et vaisselles,450.0,pro,Grand Casablanca,Casablanca
166,Macbook Pro 2018 15 NEW,40008671,Ordinateurs portables,23000.0,pro,Tanger-Tétouan,Tanger
167,decoration artizana anceinne,40008670,Art et collections,15000.0,private,Rabat-Salé-Zemmour-Zaër,Rabat
170,Bague en diamant,40008669,Montres et bijoux,15000.0,private,Grand Casablanca,Casablanca
171,pc portable Dell core i5 / RAM 4G à casablanca,40008668,Ordinateurs portables,2700.0,private,Grand Casablanca,Casablanca
172,Infinix hot8,40008667,Téléphones,900.0,private,Souss-Massa-Drâa,Agadir
173,Macbook Pro 2016 Touchbar,40008666,Ordinateurs portables,10500.0,pro,Tanger-Tétouan,Tanger
174,MK5569 Or Rose Lexington,40008665,Montres et bijoux,1300.0,private,Rabat-Salé-Zemmour-Zaër,Rabat
176,Gc-1 Sport Navy Silicone,40008664,Montres et bijoux,1200.0,private,Rabat-Salé-Zemmour-Zaër,Rabat
185,Compte psn  5 jeux,40008662,Jeux vidéo et consoles,1500.0,private,Grand Casablanca,Casablanca
186,Macbook Air 2015,40008661,Ordinateurs portables,4400.0,pro,Tanger-Tétouan,Tanger
188,hp zbook 15 4th,40008660,Ordinateurs portables,3700.0,private,Gharb-Chrarda-Beni Hssen,Kénitra
189,Macbook Air 2018 NEW,40008659,Ordinateurs portables,14800.0,pro,Tanger-Tétouan,Tanger
190,Macbook Pro 2015,40008658,Ordinateurs portables,6300.0,pro,Tanger-Tétouan,Tanger
192,H96 MAX h2 64G capacité de stockage tv box,31946216,Image & son,499.0,pro,Grand Casablanca,Casablanca
193,ORIGINAL X96 MINI TV BOX 16gb,35291699,Image & son,399.0,pro,Grand Casablanca,Casablanca
195,Iphone 6s 16GB Gold,40008654,Téléphones,1200.0,pro,Tanger-Tétouan,Tanger
196,IMac 2017 5K 27,40008653,Ordinateurs portables,24000.0,pro,Tanger-Tétouan,Tanger
197,Pc i5 Dell 4Go ram 320 Go 3eme génération,40008652,Ordinateurs portables,1800.0,private,Grand Casablanca,Mohammedia
198,becane super cub blaka sghiira,40008651,Motos,9500.0,private,Rabat-Salé-Zemmour-Zaër,Salé
199,MacBook Air 2017,40008650,Ordinateurs portables,5500.0,pro,Tanger-Tétouan,Tanger
200,Iphone 6s 16GB Gold,40008654,Téléphones,1200.0,pro,Tanger-Tétouan,Tanger
201,IMac 2017 5K 27,40008653,Ordinateurs portables,24000.0,pro,Tanger-Tétouan,Tanger
202,Pc i5 Dell 4Go ram 320 Go 3eme génération,40008652,Ordinateurs portables,1800.0,private,Grand Casablanca,Mohammedia
203,becane super cub blaka sghiira,40008651,Motos,9500.0,private,Rabat-Salé-Zemmour-Zaër,Salé
204,MacBook Air 2017,40008650,Ordinateurs portables,5500.0,pro,Tanger-Tétouan,Tanger
205,Iphone 6 plus,40008649,Téléphones,1300.0,private,Grand Casablanca,Casablanca
206,Lenovo Yoga 370,40008648,Ordinateurs portables,5000.0,pro,Tanger-Tétouan,Tanger
207,Macbook Pro 2016 TouchBar,40008646,Ordinateurs portables,10800.0,pro,Tanger-Tétouan,Tanger
208,MP3 SONY WALKMAN,40008645,Image & son,120.0,private,Grand Casablanca,Mohammedia
209,Macbook Pro 2016 Touchbar,40008644,Ordinateurs portables,14200.0,pro,Tanger-Tétouan,Tanger
210,Gc femme lady chic sport,40008643,Montres et bijoux,1100.0,private,Rabat-Salé-Zemmour-Zaër,Rabat
212,Macbook Pro Touchbar,40008640,Ordinateurs portables,12000.0,pro,Tanger-Tétouan,Tanger
214,glostar Consor,40008638,Animaux,300.0,private,Grand Casablanca,Casablanca
216,becane super cub,40008636,Motos,9500.0,private,Rabat-Salé-Zemmour-Zaër,Rabat
217,MacBook PRO 2014 16GB,40008634,Ordinateurs portables,5600.0,pro,Tanger-Tétouan,Tanger
218,Fire HD 10 Tablet,40008633,Tablettes,1250.0,pro,Tanger-Tétouan,Tanger
219,Hp zbook 17 g3,40008632,Ordinateurs portables,10500.0,pro,Tanger-Tétouan,Tanger
220,Iphone 8,40008631,Téléphones,5100.0,private,Souss-Massa-Drâa,Agadir
221,Peugeot 208 L3amra,40008630,Voitures,115000.0,private,Meknès-Tafilalet,Meknès
222,Magic Trackpad 2 Neuf,40008629,Accessoires informatique et gadgets,1200.0,pro,Tanger-Tétouan,Tanger
224,Ps3 ultra slim,40008627,Jeux vidéo et consoles,1300.0,private,Grand Casablanca,Casablanca
227,Samsung Tab S2,40008625,Tablettes,1850.0,pro,Tanger-Tétouan,Tanger
228,peugeot 407,40008624,Voitures,82000.0,private,Taza-Al Hoceima-Taounate,Al Hoceima
230,Motorola G5s plus 32go,40008622,Téléphones,1250.0,private,Marrakech-Tensift-Al Haouz,Marrakech
232,Surface Laptop,40008620,Ordinateurs portables,4800.0,pro,Tanger-Tétouan,Tanger
233,Lenovo ThinkPad X250,40008619,Ordinateurs portables,2400.0,pro,Tanger-Tétouan,Tanger
234,Guembri mla9i,40008618,Instruments de musique,1600.0,private,Grand Casablanca,Casablanca
235,LG Q6 32go Ram 3go neuf,40008617,Téléphones,1450.0,private,Marrakech-Tensift-Al Haouz,Marrakech
236,Lenovo ThinkPad T480 i5,40008616,Ordinateurs portables,5500.0,pro,Tanger-Tétouan,Tanger
237,Guess W1168G4 Blue Silicone,40008615,Montres et bijoux,1300.0,private,Rabat-Salé-Zemmour-Zaër,Rabat
238,Lenovo Miix 700,40008614,Ordinateurs portables,4200.0,pro,Tanger-Tétouan,Tanger
239,oppo A7,40008613,Téléphones,1250.0,private,Grand Casablanca,Casablanca
241,HP Pavilion x360 2018,40008612,Ordinateurs portables,5000.0,pro,Tanger-Tétouan,Tanger
245,Motorola G5s 32go,40008608,Téléphones,1200.0,private,Marrakech-Tensift-Al Haouz,Marrakech
246,gta5 ps4,40008607,Jeux vidéo et consoles,250.0,private,Grand Casablanca,Casablanca
247,Dell XPS 13 7390,40008606,Ordinateurs portables,10000.0,pro,Tanger-Tétouan,Tanger
248,Gc Dames Analog Sport Structura,40008605,Montres et bijoux,1100.0,private,Rabat-Salé-Zemmour-Zaër,Rabat
249,Play 3,40008604,Jeux vidéo et consoles,800.0,private,Grand Casablanca,Casablanca
254,Violon.,40008602,Instruments de musique,3500.0,private,Grand Casablanca,Casablanca
256,HP ENVY i7,40008601,Ordinateurs portables,5700.0,pro,Tanger-Tétouan,Tanger
258,Ps3 flachè,40008600,Jeux vidéo et consoles,1400.0,private,Grand Casablanca,Casablanca
262,H96 Mini Android 2 Go RAM 16GB,38587290,Image & son,399.0,pro,Grand Casablanca,Casablanca
263,Promotion machine Nespresso automatique,35742551,Electroménager et vaisselles,349.0,pro,Grand Casablanca,Casablanca
264,Iphone xs,40008598,Téléphones,5400.0,private,Souss-Massa-Drâa,Agadir
265,Lenovo Ideapad 110,40008597,Ordinateurs portables,4500.0,pro,Tanger-Tétouan,Tanger
266,Epson LCD PROJECTOR,40008596,Image & son,2200.0,pro,Tanger-Tétouan,Tanger
268,Machine a café Commercial nespresso Zenius Pro,35913652,Electroménager et vaisselles,1800.0,pro,Grand Casablanca,Casablanca
270,Iphone xs max 64gb Gold,40008595,Téléphones,7500.0,pro,Tanger-Tétouan,Tanger
271,Machines à Café Automatique,38659773,Electroménager et vaisselles,1500.0,pro,Grand Casablanca,Casablanca
272,Appartement Vide Résidence Jardin d'Agadir,39734152,Appartements,4500.0,pro,Souss-Massa-Drâa,Agadir
275,Cafétiere Dolce gusto Picolo,38659580,Electroménager et vaisselles,250.0,pro,Grand Casablanca,Casablanca
276,Dell XPS 15 9560,40008592,Ordinateurs portables,9800.0,pro,Tanger-Tétouan,Tanger
277,Clio campus,39755773,Voitures,63000.0,pro,Fès-Boulemane,Fès
278,Machines a café Senseo philips,38659862,Electroménager et vaisselles,300.0,pro,Grand Casablanca,Casablanca
280,Macbook Pro 2015 15,40008590,Ordinateurs portables,8500.0,pro,Tanger-Tétouan,Tanger
281,Cafetières Nespresso Importés d europ,36507198,Electroménager et vaisselles,499.0,pro,Grand Casablanca,Casablanca
282,HP EliteBook 6440p Core i5 - Problème clavier,38857673,Ordinateurs portables,900.0,pro,Grand Casablanca,Casablanca
283,100 Unités disponible,40008589,Matériels professionnels,40.0,private,Tanger-Tétouan,Tanger
284,Macbook airr 2014,40008588,Ordinateurs portables,3600.0,pro,Tanger-Tétouan,Tanger
285,vèlo enfant,40008587,Equipements pour enfant et bébé,500.0,private,Tanger-Tétouan,Tanger
286,Macbook Pro 2017 15,40008586,Ordinateurs portables,16600.0,pro,Tanger-Tétouan,Tanger
288,3 000 Flyers,36730118,Business et affaires commerciales,800.0,pro,Fès-Boulemane,Fès
289,Hp envy 13,40008584,Ordinateurs portables,3500.0,pro,Tanger-Tétouan,Tanger
290,maison meublée,39660234,Appartements,3300.0,private,Tanger-Tétouan,Tanger
291,Avent philips Chauffe biberon électronique,40008583,Equipements pour enfant et bébé,230.0,pro,Fès-Boulemane,Fès
292,Mercedes-Benz 220 Diesel,40008582,Voitures,50000.0,private,Chaouia-Ouardigha,Fdalate
294,PROMOTION . Cafétiere Nespresso,35222063,Electroménager et vaisselles,250.0,pro,Grand Casablanca,Casablanca
296,Machines Nesspresso CITIZ l import d europ,38134844,Electroménager et vaisselles,649.0,pro,Grand Casablanca,Casablanca
297,Machine impression eco solvant locor 1600cm,38820553,Matériels professionnels,59999.0,pro,Meknès-Tafilalet,Meknès
298,Iphone 7 32 Gb,40008580,Téléphones,2000.0,pro,Tanger-Tétouan,Tanger
299,Iphone 7 32 Gb,40008580,Téléphones,2000.0,pro,Tanger-Tétouan,Tanger
300,Konica minolta bizhub c454e c364 c353 c253 c224,32711004,Matériels professionnels,7500.0,pro,Fès-Boulemane,Fès
302,IPad MiNi 4 WiFi,40008577,Tablettes,1600.0,pro,Tanger-Tétouan,Tanger
304,Sécheuse linge automatique turbo secadora Mercedes,40008575,Electroménager et vaisselles,600.0,pro,Fès-Boulemane,Fès
305,AirPods AirPod AirPods,40008574,Image & son,1000.0,pro,Tanger-Tétouan,Tanger
306,Appartement Prêt Mall ibn Batoutta et Gare TGV,40008573,Locations de vacances,400.0,private,Tanger-Tétouan,Tanger
309,Macbook Pro 2017 new,40008571,Ordinateurs portables,12000.0,pro,Tanger-Tétouan,Tanger
310,oppo f5 64g 6 ram neuuf,40008570,Téléphones,1700.0,private,Fès-Boulemane,Fès
311,Brevi Lit pliant Nanna Oh Fabriqué en Italie,40008569,Equipements pour enfant et bébé,1400.0,pro,Fès-Boulemane,Fès
312,Motor becan,40008567,Motos,8500.0,private,Souss-Massa-Drâa,Agadir
313,Lenovo ThinkPad L470 i5,40008566,Ordinateurs portables,3500.0,pro,Tanger-Tétouan,Tanger
314,Villa à vendre avec tt l'ameublement,39457983,Maisons et villas,2500000.0,private,Souss-Massa-Drâa,Agadir
315,Rover 75 diesel,40008565,Voitures,42000.0,private,Chaouia-Ouardigha,Deroua
317,mi not 10,40008563,Téléphones,3600.0,private,Oriental,Berkane
318,pc mac,40008562,Ordinateurs de bureau,17000.0,private,Souss-Massa-Drâa,Agadir
319,Dacia Logan Diesel,40008561,Voitures,89000.0,private,Meknès-Tafilalet,Khénifra
320,berger allemand pedigree,40008560,Animaux,6000.0,private,Rabat-Salé-Zemmour-Zaër,Rabat
321,MacBook Pro 13-inch Mid 2011,40008559,Ordinateurs portables,2200.0,pro,Tanger-Tétouan,Tanger
323,Guitare classique avec pouchette fender,35909673,Instruments de musique,650.0,pro,Grand Casablanca,Casablanca
325,Orgue oriental pour conservatoire et professionnel,39776070,Instruments de musique,2300.0,pro,Grand Casablanca,Casablanca
326,Dell Latitude E7480,40008556,Ordinateurs portables,4200.0,pro,Tanger-Tétouan,Tanger
328,HP ENVY x360,40008554,Ordinateurs portables,6300.0,pro,Tanger-Tétouan,Tanger
329,chiot bichon,40008553,Animaux,1500.0,private,Rabat-Salé-Zemmour-Zaër,Rabat
330,hp core 2duo 4G ram 160G mémoire,40008552,Ordinateurs portables,1200.0,private,Rabat-Salé-Zemmour-Zaër,Salé
331,Xiaomi Mi Notebook,40008551,Ordinateurs portables,5200.0,pro,Tanger-Tétouan,Tanger
332,100 pièces disponible,40008550,Matériels professionnels,40.0,private,Rabat-Salé-Zemmour-Zaër,Rabat
333,IPhone 7 128GB,40008549,Téléphones,2200.0,pro,Tanger-Tétouan,Tanger
334,Parc Bébé Barrière Securitè Plastique Enfant,40008548,Equipements pour enfant et bébé,700.0,pro,Fès-Boulemane,Fès
335,Msi gs65 1070 gtx,40008547,Ordinateurs portables,13500.0,pro,Tanger-Tétouan,Tanger
337,Macbook Pro 2016,40008545,Ordinateurs portables,7700.0,pro,Tanger-Tétouan,Tanger
338,Lenovo x1 Carbon,40008544,Ordinateurs portables,5000.0,pro,Tanger-Tétouan,Tanger
340,huiles cosméthique,40008542,Produits de beauté,30.0,private,Grand Casablanca,Casablanca
341,antisiptique en gros,40008541,Stocks et vente en gros,16.0,pro,Grand Casablanca,Casablanca
343,Tableau Sparkling Baubles à Laâyoune,40008540,Meubles et décoration,300.0,pro,Laâyoune-Boujdour-Sakia El Hamra,Laâyoune
344,Lenovo ThinkPad i7,40008539,Ordinateurs portables,3500.0,pro,Tanger-Tétouan,Tanger
346,Loupe Lampe De Table Pivotant De Bureau,40008536,Meubles et décoration,400.0,pro,Fès-Boulemane,Fès
347,Surface Pro 4,40008535,Ordinateurs portables,5200.0,pro,Tanger-Tétouan,Tanger
352,switch Nintendo,40008533,Jeux vidéo et consoles,2800.0,private,Oriental,Oujda
353,MONSTER ABRA A7,40008532,Ordinateurs portables,7200.0,pro,Tanger-Tétouan,Tanger
354,Solac machine à expresso 19 Bar,40008531,Electroménager et vaisselles,700.0,pro,Fès-Boulemane,Fès
358,casque anti bruit 3M Peltor,40008527,Image & son,215.0,private,Grand Casablanca,Casablanca
360,SERVEUR-IPTV & VOD FHD 4K - UHD,36501970,Image & son,350.0,private,Rabat-Salé-Zemmour-Zaër,Rabat
361,Impression Vinyle - Bach - Backlight - Oneway,32910400,Business et affaires commerciales,40.0,pro,Fès-Boulemane,Fès
362,Lenovo ThibnkPad T490 i7,40008525,Ordinateurs portables,9700.0,pro,Tanger-Tétouan,Tanger
364,opel astra,40008524,Voitures,82000.0,private,Rabat-Salé-Zemmour-Zaër,Rabat
365,HP EliteBook 840 G3 i7,40008523,Ordinateurs portables,4200.0,pro,Tanger-Tétouan,Tanger
367,Renault,40008522,Voitures,45000.0,private,Marrakech-Tensift-Al Haouz,Marrakech
370,ficus de 3 metres,38656620,Jardin et outils de bricolage,180.0,pro,Grand Casablanca,Casablanca
371,HP Gamer 1050 GTX,40008520,Ordinateurs portables,6300.0,pro,Tanger-Tétouan,Tanger
374,Macbook Air 2019,40008518,Ordinateurs portables,9000.0,pro,Tanger-Tétouan,Tanger
379,Samsung Galaxy Tab Active2 Neuf,40008514,Tablettes,1850.0,pro,Tanger-Tétouan,Tanger
385,xbox 360,40008510,Jeux vidéo et consoles,550.0,private,Rabat-Salé-Zemmour-Zaër,Tifelt
